filename-1,filename-2,similarity,title-1,year-1,month-1,day-1,title-2,year-2,month-2,day-2,topic_1,topic_2
2023-11-03_2619.txt,2023-12-06_1903.txt,0.7256342848034208,"Israel-Hamas war: List of key events, day 28",2023,11,3,"Israel-Hamas war: List of key events, day 61",2023,12,6,43,38
2023-11-01_2677.txt,2023-12-06_1903.txt,0.7256342848034208,"Israel-Hamas war: List of key events, day 26",2023,11,1,"Israel-Hamas war: List of key events, day 61",2023,12,6,43,38
2023-11-08_2496.txt,2023-12-06_1903.txt,0.7256342848034208,"Israel-Hamas war: List of key events, day 33",2023,11,8,"Israel-Hamas war: List of key events, day 61",2023,12,6,43,38
2023-11-02_2642.txt,2023-12-06_1903.txt,0.7256342848034208,"Israel-Hamas war: List of key events, day 27",2023,11,2,"Israel-Hamas war: List of key events, day 61",2023,12,6,43,38
2023-11-05_2567.txt,2023-12-06_1903.txt,0.7256342848034208,"Israel-Hamas war: List of key events, day 30",2023,11,5,"Israel-Hamas war: List of key events, day 61",2023,12,6,43,38
2023-11-07_2521.txt,2023-12-06_1903.txt,0.7256342848034208,"Israel-Hamas war: List of key events, day 32",2023,11,7,"Israel-Hamas war: List of key events, day 61",2023,12,6,43,38
2023-11-04_2588.txt,2023-12-06_1903.txt,0.7256342848034208,"Israel-Hamas war: List of key events, day 29",2023,11,4,"Israel-Hamas war: List of key events, day 61",2023,12,6,43,38
2023-11-06_2547.txt,2023-12-06_1903.txt,0.7256342848034208,"Israel-Hamas war: List of key events, day 31",2023,11,6,"Israel-Hamas war: List of key events, day 61",2023,12,6,43,38
2023-12-05_1926.txt,2023-12-06_1903.txt,0.7593161249462809,"Israel-Hamas war: List of key events, day 60",2023,12,5,"Israel-Hamas war: List of key events, day 61",2023,12,6,38,38
2023-10-13_3166.txt,2023-12-06_1903.txt,0.6698638687691313,"Israel-Hamas war: List of key events, day 7",2023,10,13,"Israel-Hamas war: List of key events, day 61",2023,12,6,49,38
2023-10-20_2978.txt,2023-12-06_1903.txt,0.6554312811481402,"Israel-Hamas war: List of key events, day 14",2023,10,20,"Israel-Hamas war: List of key events, day 61",2023,12,6,49,38
2023-10-16_3104.txt,2023-12-06_1903.txt,0.6510501187552308,"Israel-Hamas war: List of key events, day 10",2023,10,16,"Israel-Hamas war: List of key events, day 61",2023,12,6,43,38
2023-10-22_2929.txt,2023-12-06_1903.txt,0.6471657605318969,"Israel-Hamas war: List of key events, day 16",2023,10,22,"Israel-Hamas war: List of key events, day 61",2023,12,6,49,38
2023-10-21_2944.txt,2023-12-06_1903.txt,0.611336394220363,"Israel-Hamas war: List of key events, day 15",2023,10,21,"Israel-Hamas war: List of key events, day 61",2023,12,6,49,38
2023-10-25_2866.txt,2023-12-06_1903.txt,0.661998146218485,"Israel-Hamas war: List of key events, day 19",2023,10,25,"Israel-Hamas war: List of key events, day 61",2023,12,6,49,38
2023-10-27_2810.txt,2023-12-06_1903.txt,0.6604385126013501,"Israel-Hamas war: List of key events, day 21",2023,10,27,"Israel-Hamas war: List of key events, day 61",2023,12,6,49,38
2023-10-28_2776.txt,2023-12-06_1903.txt,0.6545466678280939,"Israel-Hamas war: List of key events, day 22",2023,10,28,"Israel-Hamas war: List of key events, day 61",2023,12,6,49,38
2023-10-19_3010.txt,2023-12-06_1903.txt,0.7107099159681051,"Israel-Hamas war: List of key events, day 13",2023,10,19,"Israel-Hamas war: List of key events, day 61",2023,12,6,49,38
2023-11-09_2469.txt,2023-12-06_1903.txt,0.7256342848034208,"Israel-Hamas war: List of key events, day 34",2023,11,9,"Israel-Hamas war: List of key events, day 61",2023,12,6,43,38
2023-10-23_2913.txt,2023-12-06_1903.txt,0.6459284127345629,"Israel-Hamas war: List of key events, day 17",2023,10,23,"Israel-Hamas war: List of key events, day 61",2023,12,6,49,38
